##FastQC	0.11.6
>>Basic Statistics	pass
#Measure	Value
Filename	Y25_2.fq.gz
File type	Conventional base calls
1107	115-119	-0.18754408134448397
1107	120-124	-0.1857240512292897
1107	125-129	-0.07193013717414942
1107	130-134	-0.007793941487900469
1107	135-139	-0.10470912859512538
1107	140-144	0.435557263633477
1107	145-149	0.20300174274701632
1107	150	0.1654893003370823
1108	1	0.21635557707028852
1108	2	-0.24166324810652284
1108	3	0.21246149847288365
1108	4	-0.08072618895398875
1108	5	-0.11566029842107639
1108	6	-0.10645146996159127
1108	7	-0.6504457306089861
1108	8	-0.5895531485429473
1108	9	-0.4336236776450306
1108	10-14	-0.5373625124686185
1108	15-19	-0.576859442669047
1108	20-24	-0.5228393902274746
1108	25-29	-0.6901180786635734
1108	30-34	-0.4001146997477534
1108	35-39	-0.5929970758549175
1108	40-44	-0.7990633252398993
1108	45-49	-0.7227994485239009
1108	50-54	-0.5654793907729143
1108	55-59	-0.6852738234895099
1108	60-64	-0.6444023392797362
1108	65-69	-0.8534267031437892
1108	70-74	-0.7925761063826471
1108	75-79	-0.732514144815859
1108	80-84	-1.1166332165310777
1108	85-89	-0.8493752698360524
1108	90-94	-0.7318785268606618
1108	95-99	-0.7725507693986629
1108	100-104	-1.0129779400964622
1108	105-109	-0.8218339893605986
1108	110-114	-0.567343362232954
1108	115-119	-0.5299641274524802
1108	120-124	-0.47133762360488873
1108	125-129	-0.4004259824245082
1108	130-134	-0.43626501955028374
1108	135-139	-0.41035710760103683
1108	140-144	-0.08628704903841466
1108	145-149	-0.10906921399674374
1108	150	-0.6292100283284263
1109	1	-0.4710473870479106
1109	2	-0.10372339544935372
1109	3	-0.1814181450040806
1109	4	-0.1290360712096117
1109	5	-0.14088172696931167
1109	6	-0.37310635529107117
1109	7	-0.6271836042357251
1109	8	-0.4852804612314614
1109	9	-0.5636758612673773
1109	10-14	-0.33407437326732037
1109	15-19	-0.2888543596216877
1109	20-24	-0.3690992436927161
1109	25-29	-0.44475384893959813
1109	30-34	-0.1967338006787358
1109	35-39	-0.2807870899524403
1109	40-44	-0.2666018097756577
1109	45-49	-0.370503135600174
1109	50-54	-0.49421851851584364
1109	55-59	-0.5504228168164929
1109	60-64	-0.6155315615576882
1109	65-69	-1.1016254345804413
1109	70-74	-0.626961207232668
1109	75-79	-0.5005349804231543
1109	80-84	-0.8588808222615825
1109	85-89	-0.8447334920449947
1109	90-94	-0.8646248263863754
1109	95-99	-1.005962008604321
1109	100-104	-0.971326373205919
1109	105-109	-0.9454833892078156
1109	110-114	-0.7794468859285715
1109	115-119	-1.1817738068991552
1109	120-124	-1.142870228450363
1109	125-129	-1.3343991018540855
1109	130-134	-1.2699870383321148
1109	135-139	-1.3098811382818276
1109	140-144	-1.5476103181611691
1109	145-149	-1.317714251558538
1109	150	-1.1724462816054668
1110	1	-0.10716890430416726
1110	2	0.09687799528836649
1110	3	0.4738737895222087
1110	4	0.2801479067918322
1110	5	0.11470423150868925
1110	6	0.2654353510900549
1110	7	0.16943591353936682
1110	8	0.15298324199575575
1110	9	0.13869002776767303
1110	10-14	0.18439817622083154
1110	15-19	0.2322027228092267
1110	20-24	0.23336190070737928
1110	25-29	0.2298238476074843
1110	30-34	0.24913574708609332
1110	35-39	0.2616781603192351
1110	40-44	0.25481053312234536
1110	45-49	0.28396020320788296
1110	50-54	0.4406465636792234
1110	55-59	0.34391804093093015
1110	60-64	0.38086234707295574
1110	65-69	0.3465186279367103
1110	70-74	0.5119265394192354
1110	75-79	0.676969108921817
1110	80-84	0.614546153355441
1110	85-89	0.6122074522049843
1110	90-94	0.7192507087492643
1110	95-99	0.7209795984229785
1110	100-104	0.9310105581823578
1110	105-109	1.0830499833911347
1110	110-114	1.1575968588940952
1110	115-119	1.2940998312823382
1110	120-124	1.454557511949094
1110	125-129	1.288769801988007
1110	130-134	1.3035430133820576
1110	135-139	1.4289874686611412
1110	140-144	1.6547774358917273
1110	145-149	1.7242405074639677
1110	150	1.6917876029808987
1111	1	0.18869451679353944
1111	2	-0.02291302715095611
1111	3	0.2768671451468734
1111	4	0.04741118136878697
1111	5	0.02287520962165246
1111	6	-0.0496285867286943
1111	7	-0.1659446777352045
1111	8	0.03276031363654397
1111	9	0.041371704383593055
1111	10-14	-0.009374514032494119
1111	15-19	-0.007179761295724063
1111	20-24	-0.029257622038606712
1111	25-29	0.053651798681585205
1111	30-34	-0.11649535195976313
1111	35-39	-0.14528159264996532
1111	40-44	-0.08071981685709062
1111	45-49	-0.24626140050351353
1111	50-54	-0.04829954022052618
1111	55-59	-0.06775163656642036
1111	60-64	0.0036838643165353346
1111	65-69	-0.17299362439865007
1111	70-74	-0.1911326070722268
1111	75-79	-0.10245808699868775
